,name,price,store,image,story,category,location,vegan
77,pringles super stacks 130-156 g,$1.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/67e9cdf4-38c5-11ec-b743-0efae983d694/medium,save 50¢,meat,Kingston,FALSE
78,quaker gluten-free quick oats 511 g,$3.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/672a57a8-38c5-11ec-8ea5-0ec6e2beadde/medium,save 50¢,meat,Kingston,FALSE
79,que pasa tortilla chips 350 g,$3.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/680ad990-38c5-11ec-8ea5-0ec6e2beadde/medium,save 50¢,meat,Kingston,FALSE
80,ricola family pack 45 pk,$5.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829480/58e4214c-38c5-11ec-be98-0e1ba86a8db4/medium,save $1.50,meat,Kingston,FALSE
81,summer fresh dips or hummus 227 g or salad 300g,$2.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788954/1635861866/large.jpg,save up to 50¢,meat,Kingston,FALSE
82,1 lb bagged limes or 4 pack bagged avocados product of mexico,$1.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788935/1635861870/large.jpg,,meat,Kingston,FALSE
83,2 lb bard valley medjool dates product of usa,$9.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/6b25ac4a-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
84,6 pack mini seedless cucumber product of canada canada no. 1 pint grape tomatoes product of canada or mexico,$1.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788895/1635861860/large.jpg,,meat,Kingston,FALSE
85,asparagus product of usa or mexico no 1 grade 8.80/kg,$3.99 lb,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/69af44d4-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
86,ataulfo mangoes product of peru,$0.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/6b7eafde-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
87,broccoli crowns product of usa mexico or canada black plums product of usa no 1 grade 5.49/k,$2.49 lb,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/6ba67122-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
88,bunch spinach product of usa celery product of usa no. 1 grade,$1.79,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/69d700d2-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
89,cantaloupes product of mexico no. 1 grade,$2.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/6ad61aea-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
90,cauliflower product of usa or mexico no. 1 grade,$2.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/6c3bb9bc-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
91,compliments frozen fruit 300-600 g,$3.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829486/65f57606-38c5-11ec-b137-0ec6e2beadde/medium,save 50¢,meat,Kingston,FALSE
92,"compliments yellow, white or red potatoes 680 g product of canada canada no. 1",$2.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/69f6bc92-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
93,fresh attitude single serve salad kits 155-185 g product of usa,$3.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788942/1635861875/large.jpg,save $1,meat,Kingston,FALSE
94,granny smith apples product of usa extra fancy grade red delicious product of ontario canada extra fancy 3.28/kg,$1.49 lb,FreshCo,https://cdn.flippenterprise.net/page_items/240788929/1635861864/large.jpg,,meat,Kingston,FALSE
95,green kiwi 600 g product of chile,$3.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/6af33b02-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
96,green or black seedless grapes product of usa no. 1 grade 4.39/kg,$1.99 lb,FreshCo,https://cdn.flippenterprise.net/page_items/240788928/1635861864/large.jpg,,meat,Kingston,FALSE
97,greenhouse red bell sweet peppers product of canada or mexico green bell sweet peppers product of usa or mexico 4.39/kg,$1.99 lb,FreshCo,https://cdn.flippenterprise.net/page_items/240788894/1635861860/large.jpg,,meat,Kingston,FALSE
98,iceberg lettuce product of usa no. 1 grade hot house tomatoes product of canada canada no. 1 or product of usa or mexico no. 1 grade 4.39/kg,$1.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829490/68f62206-38c5-11ec-ab10-0edc53c25ee6/medium,,meat,Kingston,FALSE
99,pineapples product of costa rica,$1.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788893/1635861859/large.jpg,,meat,Kingston,FALSE
100,raspberries 170 g product of usa or mexico,$1.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829482/60d5335a-38c5-11ec-b8b0-0efae983d694/medium,,meat,Kingston,FALSE
101,seedless oranges product of south africa 3.28/kg,$1.49 lb,FreshCo,https://cdn.flippenterprise.net/page_items/240788930/1635861865/large.jpg,,meat,Kingston,FALSE
