,item,category,name,price,store,image,story,vegan,foods,real price,location
62,english muffins,bakery,"No name english muffins, 6's",$1.49 ** member price,Loblaws,https://cdn.flippenterprise.net/page_pdf_images/12821753/5cb0a950-37f6-11ec-b082-0e7faade0358/medium,,FALSE,['english muffins'],1.49,Kingston
63,bread,bakery,Di manno donuts 3 pk bread crumbs 300 g,$1.49,FreshCo,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333140/1635946589/medium,save up to $1,FALSE,['bread'],1.49,Kingston
64,kind bars 40 g,none,Kind bars 40 g,$1.49,FreshCo,https://cdn.flippenterprise.net/page_items/240788874/1635861868/large.jpg,save 50¢,FALSE,['kind bars 40 g'],1.49,Kingston
65,santosh naan 500 g signature passion rolls 4-6 pk,meat,Santosh naan 500 g signature passion rolls 4-6 pk,$1.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/6ce172f8-38c5-11ec-bb2e-0efae983d694/medium,save up to 80¢,FALSE,['santosh naan 500 g signature passion rolls 4-6 pk'],1.49,Kingston
66,selection evaporated milk,meat,Selection evaporated milk,2/ $3.00,Metro,https://cdn.flippenterprise.net/page_items/240949282/1636056051/large.jpg,,FALSE,['selection evaporated milk'],1.5,Kingston
67,pasta sauce,other,"Hunt's pasta sauce, 398 ml / 680 ml",2/ $3.00 or $1.99,Loblaws,https://cdn.flippenterprise.net/page_items/240788983/1635861881/large.jpg,,FALSE,['pasta sauce'],1.5,Kingston
68,cookies,bakery,Love child baby cookies,4/ $6.00,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839274/44301dc4-3b17-11ec-a280-0ec6e2beadde/medium,,FALSE,['cookies'],1.5,Kingston
69,fruite or tetley beverages,none,Fruite or tetley beverages,2/ $3.00 or $1.77,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333093/1635946753/medium,,FALSE,['fruite or tetley beverages'],1.5,Kingston
70,shirriff pie filling or pie crust mix,none,Shirriff pie filling or pie crust mix,2/ $3.00 or $1.97,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333173/1635933786/medium,,FALSE,['shirriff pie filling or pie crust mix'],1.5,Kingston
71,cookies,bakery,Paterson's scottish shortbread fi ngers or waterbridge cookie barrel cookies,2/ $3.00 or $1.98,Giant Tiger,https://cdn.flippenterprise.net/page_pdf_images/12839274/44301dc4-3b17-11ec-a280-0ec6e2beadde/medium,,FALSE,['cookies'],1.5,Kingston
72,ocean's light tuna or brunswick sardines,meat,Ocean's light tuna or brunswick sardines,2/ $3.00,Food Basics,https://cdn.flippenterprise.net/page_pdf_images/12829159/45f583ce-38bf-11ec-850b-0ec6e2beadde/medium,,FALSE,"[""ocean's light tuna or brunswick sardines""]",1.5,Kingston
73,carnation evaporated milk,meat,Carnation evaporated milk,2/ $3.00 or $1.97,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333174/1635946763/medium,,FALSE,['carnation evaporated milk'],1.5,Kingston
74,"primo beans, tomatoes or sauce",beverages,"Primo beans, tomatoes or sauce",3/ $5.00,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839281/59954f68-3b17-11ec-aed0-0edc53c25ee6/medium,,FALSE,"['primo beans, tomatoes or sauce']",1.6666666666666667,Kingston
75,baby gourmet baby purée,none,Baby gourmet baby purée,6/ $10.00,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839274/43ec56ca-3b17-11ec-a280-0ec6e2beadde/medium,,FALSE,['baby gourmet baby purée'],1.6666666666666667,Kingston
76,"quaker chewy or dipps bars, 120-156 g",none,"Quaker chewy or dipps bars, 120-156 g",$1.67,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829393/d9873a78-38c0-11ec-8729-0efae983d694/medium,,FALSE,"['quaker chewy or dipps bars, 120-156 g']",1.67,Kingston
77,giant value fries,none,Giant value fries,member price $1.67,Giant Tiger,https://cdn.flippenterprise.net/page_items/240333204/1635969262/large.jpg,,FALSE,['giant value fries'],1.67,Kingston
78,pasta sauce,other,Fiorfiore pasta sauce 341 ml or pasta 500 g,$1.67,Walmart,https://cdn.flippenterprise.net/page_items/240788983/1635861881/large.jpg,,FALSE,['pasta sauce'],1.67,Kingston
79,bush's canned beans,none,Bush's canned beans,$1.67,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333125/1635946626/medium,save 30¢,FALSE,"[""bush's canned beans""]",1.67,Kingston
80,cookies,bakery,"Leclerc celebration cookies, 240/350 g",$1.69 ** member price,Loblaws,https://cdn.flippenterprise.net/page_pdf_images/12839274/44301dc4-3b17-11ec-a280-0ec6e2beadde/medium,,FALSE,['cookies'],1.69,Kingston
81,"no name coating mix, 142-162 g",meat,"No name coating mix, 142-162 g",2/ $3.40 or $1.99,Loblaws,https://cdn.flippenterprise.net/page_pdf_images/12821757/5ed920e0-37f6-11ec-89a0-0e7faade0358/medium,,FALSE,"['no name coating mix, 142-162 g']",1.7,Kingston
82,potatoes,produce,All-purpose potatoes,$1.77,Walmart,https://cdn.flippenterprise.net/page_pdf_images/12823084/3136752a-380f-11ec-944d-0efae983d694/medium,save 3.20,FALSE,['potatoes'],1.77,Kingston
83,cookies,bakery,"Pc the decadent cookie, 280/300 g",members pricing $1.77,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12839274/44301dc4-3b17-11ec-a280-0ec6e2beadde/medium,,FALSE,['cookies'],1.77,Kingston
84,mccain crinkle cut or regular fries or hashbrowns,frozen,Mccain crinkle cut or regular fries or hashbrowns,$1.77,Walmart,https://cdn.flippenterprise.net/page_pdf_images/12823126/3bdd384c-380f-11ec-93d9-0e7faade0358/medium,rollback,FALSE,['mccain crinkle cut or regular fries or hashbrowns'],1.77,Kingston
85,"dairy isle regular, low- fat or fat-free evaporated milk",meat,"Dairy isle regular, low- fat or fat-free evaporated milk",$1.77,Walmart,https://cdn.flippenterprise.net/page_pdf_images/12823126/3bd814ac-380f-11ec-93d9-0e7faade0358/medium,,FALSE,"['dairy isle regular, low- fat or fat-free evaporated milk']",1.77,Kingston
